CUPS;Fecha;Hora;Consumo;GGG
AAA;08/09/2021;9;0.354;
AAA;08/09/2021;10;0.393;
AAA;08/09/2021;11;0.243;
AAA;08/09/2021;12;0.252;
AAA;08/09/2021;13;0.238;
AAA;08/09/2021;14;0.585;
AAA;08/09/2021;15;0.926;
AAA;08/09/2021;16;1.272;
AAA;08/09/2021;17;1.55;
AAA;08/09/2021;18;1.063;
AAA;08/09/2021;19;0.29;
AAA;08/09/2021;20;1.142;
AAA;08/09/2021;21;0.429;
AAA;08/09/2021;22;0.291;
AAA;08/09/2021;23;0.397;
AAA;08/09/2021;24;0.374;
AAA;09/09/2021;1;0.138;
AAA;09/09/2021;2;0.411;
AAA;09/09/2021;3;0.28;
AAA;09/09/2021;4;0.163;
AAA;09/09/2021;5;0.178;
AAA;09/09/2021;6;0.165;
AAA;09/09/2021;7;0.183;
AAA;09/09/2021;8;2.327;
AAA;09/09/2021;9;0.427;
AAA;09/09/2021;10;3.943;
AAA;09/09/2021;11;3.739;
AAA;09/09/2021;12;3.843;
AAA;09/09/2021;13;4.027;
AAA;09/09/2021;14;4.346;
AAA;09/09/2021;15;4.203;
AAA;09/09/2021;16;4.455;
AAA;09/09/2021;17;1.005;
AAA;09/09/2021;18;0.921;
AAA;09/09/2021;19;0.376;
AAA;09/09/2021;20;0.248;
AAA;09/09/2021;21;0.891;
AAA;09/09/2021;22;0.82;
AAA;09/09/2021;23;0.352;
AAA;09/09/2021;24;0.338;
AAA;10/09/2021;1;0.477;
AAA;10/09/2021;2;0.278;
AAA;10/09/2021;3;0.184;
AAA;10/09/2021;4;0.214;
AAA;10/09/2021;5;0.173;
AAA;10/09/2021;6;0.171;
AAA;10/09/2021;7;0.165;
AAA;10/09/2021;8;0.263;
AAA;10/09/2021;9;0.155;
AAA;10/09/2021;10;0.293;
AAA;10/09/2021;11;0.404;
AAA;10/09/2021;12;0.2;
AAA;10/09/2021;13;0.222;
AAA;10/09/2021;14;0.345;
AAA;10/09/2021;15;0.56;
AAA;10/09/2021;16;1.02;
AAA;10/09/2021;17;0.981;
AAA;10/09/2021;18;1.017;
AAA;10/09/2021;19;0.299;
AAA;10/09/2021;20;0.18;
AAA;10/09/2021;21;0.172;
AAA;10/09/2021;22;0.332;
AAA;10/09/2021;23;0.311;
AAA;10/09/2021;24;0.326;
AAA;11/09/2021;1;0.044;
AAA;11/09/2021;2;0.181;
AAA;11/09/2021;3;0.159;
AAA;11/09/2021;4;0.138;
AAA;11/09/2021;5;0.169;
AAA;11/09/2021;6;0.139;
AAA;11/09/2021;7;0.173;
AAA;11/09/2021;8;0.131;
AAA;11/09/2021;9;0.268;
AAA;11/09/2021;10;3.74;
AAA;11/09/2021;11;4.217;
AAA;11/09/2021;12;7.066;
AAA;11/09/2021;13;3.851;
AAA;11/09/2021;14;3.717;
AAA;11/09/2021;15;4.699;
AAA;11/09/2021;16;4.944;
AAA;11/09/2021;17;4.925;
AAA;11/09/2021;18;1.113;
AAA;11/09/2021;19;0.349;
AAA;11/09/2021;20;0.296;
AAA;11/09/2021;21;0.281;
AAA;11/09/2021;22;0.365;
AAA;11/09/2021;23;0.318;
AAA;11/09/2021;24;0.327;
AAA;12/09/2021;1;0.238;
AAA;12/09/2021;2;0.21;
AAA;12/09/2021;3;0.15;
AAA;12/09/2021;4;0.164;
AAA;12/09/2021;5;0.159;
AAA;12/09/2021;6;0.177;
AAA;12/09/2021;7;0.257;
AAA;12/09/2021;8;0.162;
AAA;12/09/2021;9;0.229;
AAA;12/09/2021;10;0.152;
AAA;12/09/2021;11;0.64;
AAA;12/09/2021;12;0.201;
AAA;12/09/2021;13;0.183;
AAA;12/09/2021;14;0.193;
AAA;12/09/2021;15;0.729;
AAA;12/09/2021;16;0.924;
AAA;12/09/2021;17;0.916;
AAA;12/09/2021;18;0.93;
AAA;12/09/2021;19;0.599;
AAA;12/09/2021;20;0.205;
AAA;12/09/2021;21;0.579;
AAA;12/09/2021;22;0.369;
AAA;12/09/2021;23;0.335;
AAA;12/09/2021;24;0.194;
AAA;13/09/2021;1;0.184;
AAA;13/09/2021;2;0.152;
