CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000004676798CK;05/05/2021;11;0,183;R
ES0021000004676798CK;05/05/2021;12;0,156;R
ES0021000004676798CK;05/05/2021;13;0,14;R
ES0021000004676798CK;05/05/2021;14;0,116;R
ES0021000004676798CK;05/05/2021;15;0,129;R
ES0021000004676798CK;05/05/2021;16;0,361;R
ES0021000004676798CK;05/05/2021;17;0,516;R
ES0021000004676798CK;05/05/2021;18;1,179;R
ES0021000004676798CK;05/05/2021;19;0,44;R
ES0021000004676798CK;05/05/2021;20;1,182;R
ES0021000004676798CK;05/05/2021;21;0,394;R
ES0021000004676798CK;05/05/2021;22;0,311;R
ES0021000004676798CK;05/05/2021;23;0,255;R
ES0021000004676798CK;05/05/2021;24;0,281;R
ES0021000004676798CK;06/05/2021;1;0,225;R
ES0021000004676798CK;06/05/2021;2;0,159;R
ES0021000004676798CK;06/05/2021;3;0,147;R
ES0021000004676798CK;06/05/2021;4;0,13;R
ES0021000004676798CK;06/05/2021;5;0,13;R
ES0021000004676798CK;06/05/2021;6;0,138;R
ES0021000004676798CK;06/05/2021;7;0,131;R
ES0021000004676798CK;06/05/2021;8;0,203;R
ES0021000004676798CK;06/05/2021;9;0,216;R
ES0021000004676798CK;06/05/2021;10;0,132;R
ES0021000004676798CK;06/05/2021;11;0,129;R
ES0021000004676798CK;06/05/2021;12;0,145;R
ES0021000004676798CK;06/05/2021;13;0,145;R
ES0021000004676798CK;06/05/2021;14;0,179;R
ES0021000004676798CK;06/05/2021;15;0,119;R
ES0021000004676798CK;06/05/2021;16;0,145;R
ES0021000004676798CK;06/05/2021;17;0,232;R
ES0021000004676798CK;06/05/2021;18;0,238;R
ES0021000004676798CK;06/05/2021;19;0,206;R
ES0021000004676798CK;06/05/2021;20;0,243;R
ES0021000004676798CK;06/05/2021;21;1,025;R
ES0021000004676798CK;06/05/2021;22;1,234;R
ES0021000004676798CK;06/05/2021;23;1,131;R
ES0021000004676798CK;06/05/2021;24;0,349;R
ES0021000004676798CK;07/05/2021;1;0,168;R
ES0021000004676798CK;07/05/2021;2;0,154;R
ES0021000004676798CK;07/05/2021;3;0,151;R
ES0021000004676798CK;07/05/2021;4;0,155;R
ES0021000004676798CK;07/05/2021;5;0,141;R
ES0021000004676798CK;07/05/2021;6;0,113;R
ES0021000004676798CK;07/05/2021;7;0,758;R
ES0021000004676798CK;07/05/2021;8;1,621;R
ES0021000004676798CK;07/05/2021;9;0,575;R
ES0021000004676798CK;07/05/2021;10;0,144;R
ES0021000004676798CK;07/05/2021;11;0,205;R
ES0021000004676798CK;07/05/2021;12;0,141;R
ES0021000004676798CK;07/05/2021;13;0,139;R
ES0021000004676798CK;07/05/2021;14;0,151;R
ES0021000004676798CK;07/05/2021;15;0,132;R
ES0021000004676798CK;07/05/2021;16;0,121;R
ES0021000004676798CK;07/05/2021;17;0,471;R
ES0021000004676798CK;07/05/2021;18;0,193;R
ES0021000004676798CK;07/05/2021;19;0,268;R
ES0021000004676798CK;07/05/2021;20;0,177;R
ES0021000004676798CK;07/05/2021;21;0,958;R
ES0021000004676798CK;07/05/2021;22;0,314;R
ES0021000004676798CK;07/05/2021;23;0,212;R
ES0021000004676798CK;07/05/2021;24;0,232;R
ES0021000004676798CK;08/05/2021;1;0,326;R
ES0021000004676798CK;08/05/2021;2;0,206;R
ES0021000004676798CK;08/05/2021;3;0,154;R
ES0021000004676798CK;08/05/2021;4;0,15;R
ES0021000004676798CK;08/05/2021;5;0,13;R
ES0021000004676798CK;08/05/2021;6;0,13;R
ES0021000004676798CK;08/05/2021;7;0,146;R
ES0021000004676798CK;08/05/2021;8;0,123;R
ES0021000004676798CK;08/05/2021;9;0,208;R
ES0021000004676798CK;08/05/2021;10;0,239;R
ES0021000004676798CK;08/05/2021;11;0,859;R
ES0021000004676798CK;08/05/2021;12;0,295;R
ES0021000004676798CK;08/05/2021;13;0,139;R
ES0021000004676798CK;08/05/2021;14;0,123;R
ES0021000004676798CK;08/05/2021;15;0,136;R
ES0021000004676798CK;08/05/2021;16;0,152;R
ES0021000004676798CK;08/05/2021;17;0,148;R
